朝阳公园酒仙桥南十里居小三居室，低楼层，仅有契税,342万,单价53944元/平米
2层，40平米大客厅，只有契税，停车免费,545万,单价43217元/平米
满五年唯一 商品房 精装修 看房随时 诚心出售,225万,单价37822元/平米
楼龄新，可以贷款，总价低，管理好。,260万,单价44415元/平米
业主已购待售，诚心出售房子保持好,270万,单价30468元/平米
同兴园两居室，高楼层，看房方便，南北通透,275万,单价38221元/平米
阜成门一居室 92年 满五唯一 有电梯 可贷款 诚心卖,540万,单价134664元/平米
满五年且家庭唯一住房，中楼层，光线较好，有钥匙,400万,单价117717元/平米
北环里2007年中间楼层精装两居室，大阳台,186万,单价33352元/平米
全南向一居室，明厨明卫，中间楼层，视野好，采光充足,276万,单价65605元/平米
荣丰2008 1室0厅 370万,370万,单价108888元/平米
全南一居室，精装修，业主诚心出售,243万,单价50415元/平米
2014年南北电梯房正规一居室业主诚售,220万,单价37905元/平米
双卧朝南向 高层视野开阔 客厅挂东窗 居住舒适,1299万,单价90322元/平米
公房，满五年。南北通透，低楼层，不临街。,336万,单价58517元/平米
金沟河3号院 2室1厅 420万,420万,单价70827元/平米
永乐西区 2室1厅 299万,299万,单价47933元/平米
碧桂园A区 南北通透三居室 全明格局 无遮挡 诚售,280万,单价23086元/平米
满五年不唯一的公房，税费少，诚心出售,220万,单价36692元/平米
商务部家属院 花园式小区 半封闭式管理 东西一层两居,598万,单价113667元/平米
东花市北里东区 2室1厅 760万,760万,单价99751元/平米
1996年国务院办公厅家属楼，新电梯，外墙重做，采光好,735万,单价99878元/平米
宝盛里精装一居 采光好  中间位置  看房有钥匙,339万,单价68513元/平米
中国铁建通瑞嘉苑 2室1厅 345万,345万,单价42852元/平米
商品房、中层、南北通透、客厅东侧带窗、价可聊,400万,单价43817元/平米
此房满两年，中高层，视野好，采光充足，环境安静,308万,单价37852元/平米
炫特嘉园三期 1室1厅 380万,380万,单价52925元/平米
龙腾苑六区商品房满五年首套住宅，卫生间明卫,489万,单价45409元/平米
北七家总价低一居室采光充足，业主诚心出售。,249万,单价43320元/平米
满两年南北通透三居室，精装修，不临街,465万,单价46918元/平米
丰卉家园 2室1厅 415万,415万,单价45296元/平米
清河 永泰庄地铁旁 已改三居 面积大 满五唯一税费少,488万,单价65180元/平米
建设部大院，中铁平安物业管理，满五年央产房，,1322万,单价109311元/平米
满五年家庭名下仅一套，无遮挡，近地铁不临街。,318万,单价54415元/平米
望京新城中间楼层三室两卫大三居,590万,单价45684元/平米
南向采光好，中间楼层户型方正，空间布局合理,429万,单价60765元/平米
八角北路孔雀门，阳光2层1居，低总价，不临街不把边,215万,单价59245元/平米
南北通透  业主诚心出售  两居两卫,185万,单价20350元/平米
2005年社区  正规两居室 落地飘窗 诚意出售,449万,单价57016元/平米
满五年唯一 东西双通透  明厅两居 2000年钢混住宅！,438万,单价62465元/平米
模式口南里 2室1厅 265万,265万,单价43947元/平米
二里庄小区 正南朝向 有客厅一居,409万,单价97381元/平米
满五唯一东向正规两居是，无遮挡,435万,单价57487元/平米
精美装修+带大露台+南北通透+看房方便,439万,单价46917元/平米
2008年商品房.业主在京唯一住房.电梯房中间层.无遮挡,399万,单价45936元/平米
双裕小区一居室，业主诚售，看房方便。,226万,单价48992元/平米
南珠苑 3室1厅 499万,499万,单价51909元/平米
通州 电梯2居 南北通透 精装修 明厨明卫,488万,单价46628元/平米
一层带花园 三居两卫 精装修 商品房满两年,699万,单价64717元/平米
三环内 精装修 低总价 一居室,262万,单价69811元/平米
北营房西里 田字格户型 南北通透 不临街 通风好,750万,单价109650元/平米
北影小区 南向三居 钢混 满五年 无遮挡 采光好,692万,单价90814元/平米
黄寺大街24号院 南北两居 采光好无遮挡,825万,单价136590元/平米
2010年新小区 高板楼 高楼层 精装修 南向三居室,569万,单价51770元/平米
瀛海镇2014年的商品房，看房方便，诚心出售,285万,单价33491元/平米
华纺易城 观景一居室 不临街  满五年在京一套,415万,单价74227元/平米
低楼层，三面采光两居室，满五年，公房，业主诚意卖,425万,单价74379元/平米
低总价 ，小两居，视野采光好，明厨明卫,218万,单价47495元/平米
月季园 2室1厅 450万,450万,单价44674元/平米
亦庄北岸 1室1厅 299万,299万,单价47057元/平米
华腾园 二期 西南两居 精装修,645万,单价69423元/平米
业主急售！马甸南村 带电梯 小两居,789万,单价143979元/平米
2004年，满五唯一，商品房，精装修，全明格局,350万,单价68200元/平米
壹线国际 满五唯一  南向大两居 落地飘窗 户型方正,560万,单价57912元/平米
满五唯一，小区中间不临街，南北通透,360万,单价61539元/平米
新上房源，满五唯一，南北通透两居，客厅带窗,450万,单价79788元/平米
融泽嘉园 2室1厅 470万,470万,单价47965元/平米
满五年中石油央产，中楼层南北通透 前后花园,590万,单价85956元/平米
南北 精装修 带客厅 小区单独管理 近万寿路地铁,577万,单价99827元/平米
满五年唯一东南大两居室无遮挡光线好,530万,单价60420元/平米
南北通透两居室，中间楼层  采光视野好,390万,单价42526元/平米
洋房社区，满五年唯/一梯两户， 南北双通透,685万,单价76580元/平米
望山园西南方正户型 ，精装修可拎包入住,950万,单价96663元/平米
天鑫二期 房龄新 满五年 中间层小区中间位置户型方正,345万,单价56290元/平米
瑞雪春堂 南向 精装修 满五唯一 中间楼采光好位置佳,286万,单价31967元/平米
西城，满五唯一，看房方便，可随时签约,670万,单价73121元/平米
峪园小区南北通透的三居室中楼层采光充足，格局合理,269万,单价36639元/平米
满五年，视野好，全明格局，自住装修，采光充足,378万,单价49855元/平米
双卧室带阳台耳朵户型 全明格局,550万,单价62274元/平米
双阳台2居室，满5年唯一商品房黄金3层，紧邻8号线地铁,408万,单价57636元/平米
精装修 楼层好 交通便利 生活配套齐全,600万,单价97976元/平米
东城区 09年 低总价 精装两居室,540万,单价74504元/平米
龙湖时代天街 3室1厅 468万,468万,单价47340元/平米
朝阳新城六区 2室2厅 385万,385万,单价51082元/平米
九龙花园 2室1厅 660万,660万,单价54831元/平米
有钥匙，看房方便，不临街，满五唯一,333万,单价39306元/平米
标准温馨小两居 商五唯一首套契税1% 刚需不二选择,339万,单价45632元/平米
一层带花园 满五年一套住房 双朝向,460万,单价54118元/平米
满五年唯一央产房 三居室格局 采光明亮 管理好,620万,单价90327元/平米
旭辉奥都 3房间1卫 325万,325万,单价36172元/平米
南北通透精装三居室 主次分离 户型方正 采光好诚售,970万,单价82434元/平米
南北通透板楼 两居室 采光充足无遮挡,348万,单价60628元/平米
观音寺南里 2室1厅 330万,330万,单价39324元/平米
西坝河东里 全明格局 板楼低楼层 户型方正,310万,单价73217元/平米
中铁建家属院，黄金2层，安静不临街，满五年,375万,单价68145元/平米
柏林爱乐二期 2室1厅 560万,560万,单价54348元/平米
西城德胜门 积水潭  明厨明卫 东西通透 满五年唯一,740万,单价154812元/平米
普惠南里 中间层带客厅 南北通透两居,550万,单价96492元/平米
西城区 南北一居室 无遮挡采光 满五年公房,499万,单价85358元/平米
花家地小区 南北向2居 满五年唯一 不临街无遮挡,390万,单价70157元/平米
北二环 城建小区 南北通透 满五年唯一,635万,单价85121元/平米
西坝河东里 3室1厅 440万,440万,单价71336元/平米
荣丰四期 满五唯一 有燃气 主朝南 精装,485万,单价99061元/平米
理想家园 2室1厅 195万,195万,单价26423元/平米
杨庄北区 低楼层 东西 两居室,369万,单价47589元/平米
房子商品房满，精装修，交通方便，可以直接拎包入住,485万,单价49744元/平米
中间楼层 东西通透两居室 小区中间位置,580万,单价97153元/平米
东王庄 1室0厅 391万,391万,单价83369元/平米
三义东里 1室1厅 420万,420万,单价107720元/平米
松榆西里 满五年公房 明厨明卫 近地铁 有钥匙,287万,单价60780元/平米
团结湖中路北一条两居室，2层上下方便，看房随时,370万,单价71031元/平米
小区公共环境新维护，南北通透无电梯两居,339万,单价63129元/平米
模式口西里坡下位置 中间楼层！,245万,单价45346元/平米
茉藜园正规一居室，满五年，正对小区花园！,393万,单价59727元/平米
茉藜园正规一居室，满五年，正对小区花园！,393万,单价59727元/平米
澳林春天三期 精装南北3居 中间层位置佳 满五年诚售,1120万,单价81142元/平米
东城房本，中高层，满五年非唯一住房，视野好公房性质,857万,单价93918元/平米
海淀四季青 南北向两居 中间楼层 近地铁,555万,单价81738元/平米
满五唯一 黄金二层 小区中间位置 刚需优选 配套完善,360万,单价43764元/平米
马家堡 星河城 南北通透 精装修三居,830万,单价67480元/平米
眼镜房三居室，板楼三层，看房方便随时可以签约,450万,单价28315元/平米
南北通透 满五年不唯一公房 低楼层,405万,单价72322元/平米
西城，电梯直达，钢混，前后无遮挡，距地铁750米！,480万,单价76899元/平米
北街家园八区满5年唯一视野开阔，首套房净首付73万,195万,单价54915元/平米
沙子口路70号楼 东城区 东南向两居室,409万,单价72686元/平米
"★商品房，精装修，南北通透，随时签约,有车位★",425万,单价41770元/平米
甜水园东里  正规两居室 中间楼层 有门禁,346万,单价59831元/平米
通达园精装两居，商满五唯一，诚心出售,405万,单价46670元/平米
新龙城景观电梯3居室 40万装修 中间位置 价格可议,689万,单价56830元/平米
浉城百丽上叠 南北通透 满五年唯一 双卧朝南,875万,单价48183元/平米
2000年建成的央产房，满五年唯一，精装,550万,单价74446元/平米
满五唯一，全南向三居，无遮挡，采光好。,469万,单价49343元/平米
南北通透 精装两居室 拎包入住 看房方便,1026万,单价89647元/平米
满五年唯一，只有契税，南向两居室,348万,单价41291元/平米
满五唯一商品房  南北通透 双卧朝南  停车方便,539万,单价71771元/平米
08年商品房 满五年唯一 精装修 温馨舒适两居 阳光房,550万,单价68545元/平米
